Genus;Species;TAB;BIZ;RAF;ZAO;ZAP;ELK;MON;HER;MAH;GAL;MAR;PPR;BPA;PPE;SDO;CBA;TAV;LIV;LAM;CAR;PCO;CHIA;MOR;GIAN;LAMP;MART;MED;ALI;BS;Living habit
Podocerus variegatus Leach, 1814;Podocerus;variegatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;4;Free
Eusiroides dellavallei Chevreux, 1899;Eusiroides;dellavallei;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;6;Free
Stenothoe dollfusi Chevreux, 1887;Stenothoe;dollfusi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.5;Free
Stenothoe eduardi Krapp- Schickel, 1975;Stenothoe;eduardi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;Free
Stenothoe gallensis Walker, 1904;Stenothoe;gallensis;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.25;Free
Stenothoe monoculoides (Montagu, 1813);Stenothoe;monoculoides;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;1;1;0;0;3;Free
Stenothoe tergestina (Nebeski, 1881);Stenothoe;tergestina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;Free
Orchestia montagui Audouin, 1826;Orchestia;montagui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;20;Tube
Lepidepecreum longicornis (Spence Bate 1862);Lepidepecreum;longicornis;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;Free
Lysianella dellavallei Stebbing, 1906;Lysianella;dellavallei;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;Free
Orchomene humilis (Costa, 1853);Orchomene;humilis;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;1;8;Free
Orchomene massiliensisLedoyer, 1977;Orchomene;massiliensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;Free
Orchomene similis Chevreux, 1912;Orchomene;similis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;3;Free
Tryphosa nana(Kryer, 1846);Tryphosa;nana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;Free
Unciolella lunata Chevreux, 1911;Unciolella;lunata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;Tube
Tmetonyx nardonis (Heller, 1867);Tmetonyx;nardonis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;3.75;Free
Tmetonyx similis (G.O. Sars, 1891);Tmetonyx;similis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;Free
Urothoe poseidonis Reibish, 1905;Urothoe;poseidonis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;Free
