Genus;Species;TAB;BIZ;RAF;ZAO;ZAP;ELK;MON;HER;MAH;GAL;MAR;PPR;BPA;PPE;SDO;CBA;TAV;LIV;LAM;CAR;PCO;CHIA;MOR;GIAN;LAMP;MART;MED;ALI;BS;Living habit
Apherusa chiereghinii Giordani-Soika, 1949;Apherusa;chiereghini;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;5.25;Free
Apherusa vexatrix Krapp-Schickel, 1979;Apherusa;vexatrix;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5.5;Free
Caprella acanthifera Leach, 1814;Caprella;acanthifera;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;13;Free
Caprella equilibra Say, 1818;Caprella;equilibra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;23;Free
Caprella grandimana (Mayer, 1882);Caprella;grandimana;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3.8;Free
Caprella liparotensis Haller, 1879;Caprella;liparotensis;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9.5;Free
Caprella rapax Mayer, 1890;Caprella;rapax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.7;Free
Caprella tavolarensis Sturaro & Guerra-Garca 2012;Caprella;tavolarensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.65;Free
Deutella shieckei Cavedini, 1982;Deutella;shieckei;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;Free
Pariambus typicus (Kryer, 1884);Pariambus;typicus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;Free
Phtisica marina Slabber, 1769;Phtisica;marina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16.75;Free
Pseudolirius kroyeri (Haller, 1897);Pseudolirius;kroyeri;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5.5;Free
Pseudoprotella phasma (Montagu, 1804);Pseudoprotella;phasma;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;0;1;0;0;20.45;Free
Cheirocratus sundevallii (Rathke, 1843);Cheirocratus;sundevallii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;Free
Apocorophium acutum (Chevreux, 1908);Apocorophium;acutum;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;Tube
Leptocheirus bispinosus Norman, 1908;Leptocheirus;bispinosus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;Tube
Leptocheirus guttatus (Grube, 1864);Leptocheirus;guttatus;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;0;0;1;4;Tube
Leptocheirus pectinatus (Norman, 1869);Leptocheirus;pectinatus;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;Tube
Leptocheirus pilosus Zaddach, 1844;Leptocheirus;pilosus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;5;Tube
Cressa cristata Myers, 1969;Cressa;cristata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1.85;Free
Cressa mediterranea Ruffo, 1979;Cressa;mediterranea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;Free
Peltocoxa gibbosa (Schiecke, 1977);Peltocoxa;gibbosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;2.5;Free
Peltocoxa marioni Catta, 1875;Peltocoxa;marioni;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;2.35;Free
Peltocoxa mediterranea Schiecke, 1977;Peltocoxa;mediterranea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;2.4;Free
Dexamine spiniventris (Costa, 1853);Dexamine;spiniventris;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;1;8;Free
Dexamine spinosa (Montagu, 1813);Dexamine;spinosa;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;14;Free
Guernea (Guernea) coalita (Norman, 1868);Guernea (Guernea);coalita;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;2;Free
Tritaeta gibbosa (Spence Bate, 1862);Tritaeta;gibbosa;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;6;Free
Marinohyalella richardi (Chevreux, 1902);Marinohyalella;richardi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6.5;Tube
Gammarellus angulosus (Rathke, 1843);Gammarellus;angulosus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;Free
